Names,Status,Error,Publications,No of Faculty Members,Mean Cites,Median Cites,Citation 5year Mean,Citation 5year Median,H-index 5year Mean,H-index 5year Median,I10 5year Mean,I10 5year Median,Mediancites:MeanCites,Citation 5y Mean:MeanCites,Citation 5y Mean:MedianCites,Citation 5y Median:MeanCites,Citation 5y Median:MedianCites,Citation 5y Median:Citation 5y Mean,Mean 5y Hindex:MeanCites,Mean 5y Hindex:MedianCites,Mean 5y Hindex:Citation 5y Mean,Mean 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:MeanCites,Median 5y Hindex:MedianCites,Median 5y Hindex:Citation 5y Mean,Median 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:Citation 5y H-indexMeanCites,I10 5year Mean:MeanCites,I10 5year Mean:MedianCites,I10 5y Mean:Citation 5y Mean,I10 5y Mean:Citation 5y MedianCites,I10 5y Mean:Citation 5y H-index Mean,I10 5y Mean:Citation 5y H-index Median,
sunderland.ac.uk,Complete,,,106,1304,131,508,82,7,5,10,3,,,,,,,,,,,,,,,,,,,,,,
surrey.ac.uk,Complete,Difference in profiles (excel:912) (folder:1037),*,912,2362,584,1211,392,12,9,20,9,,,,,,,,,,,,,,,,,,,,,,
sussex.ac.uk,Complete,Difference in profiles (excel:921) (folder:917),,921,2332,227,1071,175,9,6,14,5,,,,,,,,,,,,,,,,,,,,,,
uhi.ac.uken,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
uwe.ac.uk,Complete,,,505,1499,317,900,202,9,7,12,6,,,,,,,,,,,,,,,,,,,,,,
uws.ac.uk,Complete,,,244,1330,188,828,131,8,6,13,4,,,,,,,,,,,,,,,,,,,,,,
uwtsd.ac.uk,Complete,,,47,261,56,140,35,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,
warwick.ac.uk,Complete,Difference in profiles (excel:1874) (folder:1884),,1874,2019,212,1050,175,10,6,17,5,,,,,,,,,,,,,,,,,,,,,,
uwl.ac.uk,Complete,,,99,1410,197,648,122,7,6,12,4,,,,,,,,,,,,,,,,,,,,,,
westminster.ac.uk,Complete,,,299,821,179,436,121,7,5,8,3,,,,,,,,,,,,,,,,,,,,,,
winchester.ac.uk,Complete,,,101,734,130,494,100,6,5,7,3,,,,,,,,,,,,,,,,,,,,,,
wlv.ac.uk,Complete,,,279,1383,260,758,180,9,7,13,5,,,,,,,,,,,,,,,,,,,,,,
worcester.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
